race_slug,race_id,driver_id,finishing_position,starting_position,car_number,status,laps,notes
2003-charter-communications-100,,20451,13,,,,,
2003-charter-communications-100,,23095,14,,,,,
2003-charter-communications-100,,5347,15,,,,,
2003-charter-communications-100,,12529,16,,,,,
2003-charter-communications-100,,11080,17,,,,,
2003-charter-communications-100,,13983,18,,,,,
2003-charter-communications-100,,23035,19,,,,,
2003-charter-communications-100,,11360,20,,,,,
2003-charter-communications-100,,20139,21,,,,,
2003-charter-communications-100,,10910,22,,,,,
2003-spring-fling-100,,8314,1,,,,,
2003-spring-fling-100,,10910,2,,,,,
2003-spring-fling-100,,13291,3,,,,,
2003-spring-fling-100,,14762,4,,,,,
2003-spring-fling-100,,16985,5,,,,,
2003-spring-fling-100,,11210,6,,,,,
2003-spring-fling-100,,20643,7,,,,,
2003-spring-fling-100,,11091,8,,,,,
2003-spring-fling-100,,15732,9,,,,,
2003-spring-fling-100,,181,10,,,,,
2003-spring-fling-100,,4194,11,,,,,
2003-spring-fling-100,,20819,12,,,,,
2003-spring-fling-100,,8809,13,,,,,
2003-spring-fling-100,,8526,14,,,,,
2003-spring-fling-100,,3355,15,,,,,
2003-spring-fling-100,,6406,16,,,,,
2003-spring-fling-100,,22032,17,,,,,
2003-spring-fling-100,,17512,18,,,,,
2003-spring-fling-100,,14187,19,,,,,
2003-spring-fling-100,,20139,20,,,,,
2003-spring-fling-100,,null,21,,,,,
2003-spring-fling-100,,10667,22,,,,,
2003-memorial-100,,11096,1,,,,,
2003-memorial-100,,10667,2,,,,,
2003-memorial-100,,4194,3,,,,,
2003-memorial-100,,21465,4,,,,,
2003-memorial-100,,14187,5,,,,,
2003-memorial-100,,2469,6,,,,,
2003-memorial-100,,8526,7,,,,,
2003-memorial-100,,10910,8,,,,,
2003-memorial-100,,12529,9,,,,,
2003-memorial-100,,8314,10,,,,,
2003-memorial-100,,16985,11,,,,,
2003-memorial-100,,15732,12,,,,,
2003-memorial-100,,516,13,,,,,
2003-memorial-100,,14363,14,,,,,
2003-memorial-100,,1124,15,,,,,
2003-memorial-100,,12161,16,,,,,
2003-memorial-100,,15866,17,,,,,
2003-memorial-100,,8535,18,,,,,
2003-memorial-100,,4481,19,,,,,
2003-memorial-100,,11091,20,,,,,
2003-memorial-100,,20139,21,,,,,
2003-memorial-100,,15955,22,,,,,
2003-dairy-days-75,,13291,1,,,,,
2003-dairy-days-75,,11091,2,,,,,
2003-dairy-days-75,,15866,3,,,,,
2003-dairy-days-75,,10910,4,,,,,
2003-dairy-days-75,,11096,5,,,,,
2003-dairy-days-75,,20451,6,,,,,
2003-dairy-days-75,,13890,7,,,,,
2003-dairy-days-75,,6384,8,,,,,
2003-dairy-days-75,,15732,9,,,,,
2003-dairy-days-75,,4194,10,,,,,
