source_series_slug,source_season_year,source_race_number,source_url,race_date,track_name,track_slug,class_name,event_slug,finishing_position,driver_name_raw,driver_name_clean,driver_slug_guess,matched_driver_id,matched_driver_name,match_status,notes
wisconsin-challenge-series,2001,3,,"September 3, 2001",Dells Raceway Park,dells-raceway-park,Super Late Model,2001-dick-trickle-99,13,Eric Hammond,Eric Hammond,eric-hammond,8230,Eric Hammond,matched,
wisconsin-challenge-series,2001,3,,"September 3, 2001",Dells Raceway Park,dells-raceway-park,Super Late Model,2001-dick-trickle-99,14,Bryan Roach,Bryan Roach,bryan-roach,3215,Bryan Roach,matched,
wisconsin-challenge-series,2001,3,,"September 3, 2001",Dells Raceway Park,dells-raceway-park,Super Late Model,2001-dick-trickle-99,15,Jeff Way,Jeff Way,jeff-way,11092,Jeff Way,matched,
wisconsin-challenge-series,2001,3,,"September 3, 2001",Dells Raceway Park,dells-raceway-park,Super Late Model,2001-dick-trickle-99,16,Jason Weinkauf,Jason Weinkauf,jason-weinkauf,10667,Jason Weinkauf,matched,
wisconsin-challenge-series,2001,3,,"September 3, 2001",Dells Raceway Park,dells-raceway-park,Super Late Model,2001-dick-trickle-99,17,Jeremy Lepak,Jeremy Lepak,jeremy-lepak,11210,Jeremy Lepak,matched,
wisconsin-challenge-series,2001,3,,"September 3, 2001",Dells Raceway Park,dells-raceway-park,Super Late Model,2001-dick-trickle-99,18,Joe Krzykowski,Joe Krzykowski,joe-krzykowski,12529,Joe Kryzkowski,alias_matched,
wisconsin-challenge-series,2001,3,,"September 3, 2001",Dells Raceway Park,dells-raceway-park,Super Late Model,2001-dick-trickle-99,19,Terry Schoppenhorst,Terry Schoppenhorst,terry-schoppenhorst,22013,Terry Schoppenhorst,matched,
wisconsin-challenge-series,2001,3,,"September 3, 2001",Dells Raceway Park,dells-raceway-park,Super Late Model,2001-dick-trickle-99,20,Gary Back,Gary Back,gary-back,8715,Gary Back,matched,
wisconsin-challenge-series,2001,3,,"September 3, 2001",Dells Raceway Park,dells-raceway-park,Super Late Model,2001-dick-trickle-99,21,Kevin Peterson,Kevin Peterson,kevin-peterson,14484,Kevin Peterson WI,alias_matched,
wisconsin-challenge-series,2001,3,,"September 3, 2001",Dells Raceway Park,dells-raceway-park,Super Late Model,2001-dick-trickle-99,22,Jeff Weinfurter,Jeff Weinfurter,jeff-weinfurter,11096,Jeff Weinfurter,matched,
wisconsin-challenge-series,2002,1,,"May 5, 2002",Columbus 151 Speedway,columbus-151-speedway,Super Late Model,2002-spring-fling-75,1,Burton Brown,Burton Brown,burton-brown,3355,Burton Brown,matched,
wisconsin-challenge-series,2002,1,,"May 5, 2002",Columbus 151 Speedway,columbus-151-speedway,Super Late Model,2002-spring-fling-75,2,Scott Patrick,Scott Patrick,scott-patrick,20819,Scott Patrick,matched,
wisconsin-challenge-series,2002,1,,"May 5, 2002",Columbus 151 Speedway,columbus-151-speedway,Super Late Model,2002-spring-fling-75,3,Kenny Reiser,Kenny Reiser,kenny-reiser,14187,Ken Reiser,alias_matched,
wisconsin-challenge-series,2002,1,,"May 5, 2002",Columbus 151 Speedway,columbus-151-speedway,Super Late Model,2002-spring-fling-75,4,Jeremy Lepak,Jeremy Lepak,jeremy-lepak,11210,Jeremy Lepak,matched,
wisconsin-challenge-series,2002,1,,"May 5, 2002",Columbus 151 Speedway,columbus-151-speedway,Super Late Model,2002-spring-fling-75,5,Gary Back,Gary Back,gary-back,8715,Gary Back,matched,
wisconsin-challenge-series,2002,1,,"May 5, 2002",Columbus 151 Speedway,columbus-151-speedway,Super Late Model,2002-spring-fling-75,6,Don Turner,Don Turner,don-turner,7419,Don Turner,matched,
wisconsin-challenge-series,2002,1,,"May 5, 2002",Columbus 151 Speedway,columbus-151-speedway,Super Late Model,2002-spring-fling-75,7,Allen Check,Allen Check,allen-check,516,Allen Check,matched,
wisconsin-challenge-series,2002,1,,"May 5, 2002",Columbus 151 Speedway,columbus-151-speedway,Super Late Model,2002-spring-fling-75,8,Rocky Breezer,Rocky Breezer,rocky-breezer,19584,Rocky Breezer,matched,
wisconsin-challenge-series,2002,1,,"May 5, 2002",Columbus 151 Speedway,columbus-151-speedway,Super Late Model,2002-spring-fling-75,9,Mark Eswein,Mark Eswein,mark-eswein,15866,Mark Eswein,matched,
wisconsin-challenge-series,2002,1,,"May 5, 2002",Columbus 151 Speedway,columbus-151-speedway,Super Late Model,2002-spring-fling-75,10,Kyle Kinder,Kyle Kinder,kyle-kinder,14762,Kyle Kinder,matched,
wisconsin-challenge-series,2002,1,,"May 5, 2002",Columbus 151 Speedway,columbus-151-speedway,Super Late Model,2002-spring-fling-75,11,Al Weishoff,Al Weishoff,al-weishoff,394,Al Weishoff,matched,
wisconsin-challenge-series,2002,1,,"May 5, 2002",Columbus 151 Speedway,columbus-151-speedway,Super Late Model,2002-spring-fling-75,12,Jon Hornby,Jon Hornby,jon-hornby,null,Jon Hornby,matched,
wisconsin-challenge-series,2002,1,,"May 5, 2002",Columbus 151 Speedway,columbus-151-speedway,Super Late Model,2002-spring-fling-75,13,Gerry Junget,Gerry Junget,gerry-junget,8809,Gary Junget,alias_matched,
wisconsin-challenge-series,2002,1,,"May 5, 2002",Columbus 151 Speedway,columbus-151-speedway,Super Late Model,2002-spring-fling-75,14,Frank Kreyer,Frank Kreyer,frank-kreyer,8526,Frank Kreyer,matched,
wisconsin-challenge-series,2002,1,,"May 5, 2002",Columbus 151 Speedway,columbus-151-speedway,Super Late Model,2002-spring-fling-75,15,Dave Gawronski,Dave Gawronski,dave-gawronski,5869,Dave Gawronski,matched,
wisconsin-challenge-series,2002,1,,"May 5, 2002",Columbus 151 Speedway,columbus-151-speedway,Super Late Model,2002-spring-fling-75,16,Pete Kempf,Pete Kempf,pete-kempf,18245,Pete Kempf,matched,
wisconsin-challenge-series,2002,1,,"May 5, 2002",Columbus 151 Speedway,columbus-151-speedway,Super Late Model,2002-spring-fling-75,17,Frank Nitzke,Frank Nitzke,frank-nitzke,8535,Frank Nitzke,matched,
wisconsin-challenge-series,2002,1,,"May 5, 2002",Columbus 151 Speedway,columbus-151-speedway,Super Late Model,2002-spring-fling-75,18,Mike Cusick,Mike Cusick,mike-cusick,16778,Mike Cusick,matched,
wisconsin-challenge-series,2002,1,,"May 5, 2002",Columbus 151 Speedway,columbus-151-speedway,Super Late Model,2002-spring-fling-75,19,Brandon Selle,Brandon Selle,brandon-selle,2665,Brandon Selle,matched,
wisconsin-challenge-series,2002,1,,"May 5, 2002",Columbus 151 Speedway,columbus-151-speedway,Super Late Model,2002-spring-fling-75,20,Luke Westenberg,Luke Westenberg,luke-westenberg,15678,Luke Westenberg,matched,
wisconsin-challenge-series,2002,1,,"May 5, 2002",Columbus 151 Speedway,columbus-151-speedway,Super Late Model,2002-spring-fling-75,21,Greg Bowers,Greg Bowers,greg-bowers,9402,Greg Bowers,matched,
wisconsin-challenge-series,2002,1,,"May 5, 2002",Columbus 151 Speedway,columbus-151-speedway,Super Late Model,2002-spring-fling-75,22,Jim Carlson,Jim Carlson,jim-carlson,11765,Jim Carlson,matched,
wisconsin-challenge-series,2002,2,,"May 19, 2002",Golden Sands Raceway,golden-sands-raceway,Super Late Model,2002-ice-breaker-75,1,Nathan Haseleu,Nathan Haseleu,nathan-haseleu,17512,Nathan Haseleu,matched,
wisconsin-challenge-series,2002,2,,"May 19, 2002",Golden Sands Raceway,golden-sands-raceway,Super Late Model,2002-ice-breaker-75,2,Chris Weinkauf,Chris Weinkauf,chris-weinkauf,4194,Chris Weinkauf,matched,
wisconsin-challenge-series,2002,2,,"May 19, 2002",Golden Sands Raceway,golden-sands-raceway,Super Late Model,2002-ice-breaker-75,3,Jeff Weinfurter,Jeff Weinfurter,jeff-weinfurter,11096,Jeff Weinfurter,matched,
wisconsin-challenge-series,2002,2,,"May 19, 2002",Golden Sands Raceway,golden-sands-raceway,Super Late Model,2002-ice-breaker-75,4,Jeremy Lepak,Jeremy Lepak,jeremy-lepak,11210,Jeremy Lepak,matched,
wisconsin-challenge-series,2002,2,,"May 19, 2002",Golden Sands Raceway,golden-sands-raceway,Super Late Model,2002-ice-breaker-75,5,Gary Back,Gary Back,gary-back,8715,Gary Back,matched,
wisconsin-challenge-series,2002,2,,"May 19, 2002",Golden Sands Raceway,golden-sands-raceway,Super Late Model,2002-ice-breaker-75,6,Mark Eswein,Mark Eswein,mark-eswein,15866,Mark Eswein,matched,
wisconsin-challenge-series,2002,2,,"May 19, 2002",Golden Sands Raceway,golden-sands-raceway,Super Late Model,2002-ice-breaker-75,7,Allen Check,Allen Check,allen-check,516,Allen Check,matched,
wisconsin-challenge-series,2002,2,,"May 19, 2002",Golden Sands Raceway,golden-sands-raceway,Super Late Model,2002-ice-breaker-75,8,Kenny Reiser,Kenny Reiser,kenny-reiser,14187,Ken Reiser,alias_matched,
wisconsin-challenge-series,2002,2,,"May 19, 2002",Golden Sands Raceway,golden-sands-raceway,Super Late Model,2002-ice-breaker-75,9,Jim Carlson,Jim Carlson,jim-carlson,11765,Jim Carlson,matched,
wisconsin-challenge-series,2002,2,,"May 19, 2002",Golden Sands Raceway,golden-sands-raceway,Super Late Model,2002-ice-breaker-75,10,Jason Weinkauf,Jason Weinkauf,jason-weinkauf,10667,Jason Weinkauf,matched,
wisconsin-challenge-series,2002,2,,"May 19, 2002",Golden Sands Raceway,golden-sands-raceway,Super Late Model,2002-ice-breaker-75,11,Rocky Breezer,Rocky Breezer,rocky-breezer,19584,Rocky Breezer,matched,
wisconsin-challenge-series,2002,2,,"May 19, 2002",Golden Sands Raceway,golden-sands-raceway,Super Late Model,2002-ice-breaker-75,12,Judd Brandl,Judd Brandl,judd-brandl,13668,Judd Brandl,matched,
wisconsin-challenge-series,2002,2,,"May 19, 2002",Golden Sands Raceway,golden-sands-raceway,Super Late Model,2002-ice-breaker-75,13,Frank Nitzke,Frank Nitzke,frank-nitzke,8535,Frank Nitzke,matched,
wisconsin-challenge-series,2002,2,,"May 19, 2002",Golden Sands Raceway,golden-sands-raceway,Super Late Model,2002-ice-breaker-75,14,"Eugene Gregorich, Jr.","Eugene Gregorich, Jr.",eugene-gregorich-jr,8381,"Eugene Gregorich, Jr.",matched,
wisconsin-challenge-series,2002,2,,"May 19, 2002",Golden Sands Raceway,golden-sands-raceway,Super Late Model,2002-ice-breaker-75,15,Burton Brown,Burton Brown,burton-brown,3355,Burton Brown,matched,
wisconsin-challenge-series,2002,2,,"May 19, 2002",Golden Sands Raceway,golden-sands-raceway,Super Late Model,2002-ice-breaker-75,16,Justin Hirt,Justin Hirt,justin-hirt,13732,Justin Hirt,matched,
wisconsin-challenge-series,2002,2,,"May 19, 2002",Golden Sands Raceway,golden-sands-raceway,Super Late Model,2002-ice-breaker-75,17,Pete Kempf,Pete Kempf,pete-kempf,18245,Pete Kempf,matched,
wisconsin-challenge-series,2002,2,,"May 19, 2002",Golden Sands Raceway,golden-sands-raceway,Super Late Model,2002-ice-breaker-75,18,Troy Nelson,Troy Nelson,troy-nelson,23301,Troy Nelson,matched,
wisconsin-challenge-series,2002,2,,"May 19, 2002",Golden Sands Raceway,golden-sands-raceway,Super Late Model,2002-ice-breaker-75,19,Brandon Selle,Brandon Selle,brandon-selle,2665,Brandon Selle,matched,
wisconsin-challenge-series,2002,2,,"May 19, 2002",Golden Sands Raceway,golden-sands-raceway,Super Late Model,2002-ice-breaker-75,20,Jeff Kendall,Jeff Kendall,jeff-kendall,10910,Jeff Kendall,matched,
wisconsin-challenge-series,2002,2,,"May 19, 2002",Golden Sands Raceway,golden-sands-raceway,Super Late Model,2002-ice-breaker-75,21,Todd Stapleman,Todd Stapleman,todd-stapleman,22477,Todd Stapleman,matched,
wisconsin-challenge-series,2002,2,,"May 19, 2002",Golden Sands Raceway,golden-sands-raceway,Super Late Model,2002-ice-breaker-75,22,"Rich Schumann, Jr.","Rich Schumann, Jr.",rich-schumann-jr,19001,"Rich Schumann, Jr.",matched,
wisconsin-challenge-series,2002,2,,"May 19, 2002",Golden Sands Raceway,golden-sands-raceway,Super Late Model,2002-ice-breaker-75,23,Dave Gawronski,Dave Gawronski,dave-gawronski,5869,Dave Gawronski,matched,
wisconsin-challenge-series,2002,3,,"May 26, 2002",Marshfield Motor Speedway,marshfield-motor-speedway,Super Late Model,2002-memorial-75,1,Gary Back,Gary Back,gary-back,8715,Gary Back,matched,
