series_event_id,finishing_position,starting_position,car_number,driver_id,driver_name,driver_slug,sponsor,make,laps,led,status,points,result_section,source_url
262,17,,,13983,Kelly Bires,kelly-bires,,,,,,,feature,
262,18,,,7419,Don Turner,don-turner,,,,,,,feature,
262,19,,,2370,Bobby Wilberg,bobby-wilberg,,,,,,,feature,
262,20,,,5452,Dan Topel,dan-topel,,,,,,,feature,
262,21,,,1772,Bob Campbell,bob-campbell,,,,,,,feature,
262,22,,,null,"Eldon Zacek, Jr.",eldon-zacek-jr,,,,,,,feature,
263,1,,,14363,Kevin Brescia,kevin-brescia,,,,,,,feature,
263,2,,,5843,Dave Feiler,dave-feiler,,,,,,,feature,
263,3,,,603,Andrew Morrissey,andrew-morrissey,,,,,,,feature,
263,4,,,8314,Erik Darnell,erik-darnell,,,,,,,feature,
263,5,,,14762,Kyle Kinder,kyle-kinder,,,,,,,feature,
263,6,,,2469,Brad Mueller,brad-mueller,,,,,,,feature,
263,7,,,4194,Chris Weinkauf,chris-weinkauf,,,,,,,feature,
263,8,,,17512,Nathan Haseleu,nathan-haseleu,,,,,,,feature,
263,9,,,19086,Richie Loch,rich-loch,,,,,,,feature,
263,10,,,21594,Steve Rubeck,steve-rubeck,,,,,,,feature,
263,11,,,14187,Ken Reiser,kenny-reiser,,,,,,,feature,
263,12,,,5981,Dave Lawrence,dave-lawrence,,,,,,,feature,
263,13,,,20451,Ryan Mathews,ryan-mathews,,,,,,,feature,
263,14,,,23095,Travis Dassow,travis-dassow,,,,,,,feature,
263,15,,,5347,Dan Mills,dan-mills,,,,,,,feature,
263,16,,,12529,Joe Kryzkowski,joe-krzykowski,,,,,,,feature,
263,17,,,11080,Jeff VanOudenhoven,jeff-van-oudenhoven,,,,,,,feature,
263,18,,,13983,Kelly Bires,kelly-bires,,,,,,,feature,
263,19,,,23035,Tony Strupp,tony-strupp,,,,,,,feature,
263,20,,,11360,Jerry Gille,jerry-gille,,,,,,,feature,
263,21,,,20139,Rory Melbinger,rory-melbinger,,,,,,,feature,
263,22,,,10910,Jeff Kendall,jeff-kendall,,,,,,,feature,
264,1,,,8314,Erik Darnell,erik-darnell,,,,,,,feature,
264,2,,,10910,Jeff Kendall,jeff-kendall,,,,,,,feature,
264,3,,,13291,John Zimmerman,john-zimmerman,,,,,,,feature,
264,4,,,14762,Kyle Kinder,kyle-kinder,,,,,,,feature,
264,5,,,16985,Mike Langsdorf,mike-langsdorf,,,,,,,feature,
264,6,,,11210,Jeremy Lepak,jeremy-lepak,,,,,,,feature,
264,7,,,20643,Scott Broughton,scott-broughton,,,,,,,feature,
264,8,,,11091,Jeff Watters,jeff-watters,,,,,,,feature,
264,9,,,15732,M.G. Gajewski,m-g-gajewski,,,,,,,feature,
264,10,,,181,Adam Royle,adam-royle,,,,,,,feature,
264,11,,,4194,Chris Weinkauf,chris-weinkauf,,,,,,,feature,
264,12,,,20819,Scott Patrick,scott-patrick,,,,,,,feature,
264,13,,,8809,Gary Junget,gerry-junget,,,,,,,feature,
264,14,,,8526,Frank Kreyer,frank-kreyer,,,,,,,feature,
264,15,,,3355,Burton Brown,burton-brown,,,,,,,feature,
264,16,,,6406,Dean Schultz,dean-schultz,,,,,,,feature,
