series_slug,series_name,season_year,race_number,race_date,race_date_raw,race_name,race_url,track_display,track_url,winner_name,winner_url,source_file
wisconsin-challenge-series,Wisconsin Challenge Series,2006,2,2006-05-07,7 May 2006,2,https://www.thethirdturn.com/wiki/2006_Miller_Classic_100,"Oregon, WI",https://www.thethirdturn.com/wiki/Madison_International_Speedway,Dave Feiler,https://www.thethirdturn.com/wiki/Dave_Feiler,2006_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2006,3,2006-05-21,21 May 2006,3,https://www.thethirdturn.com/wiki/2006_Budweiser/WAPL_Spring_Classic,"Kaukauna, WI",https://www.thethirdturn.com/wiki/Wisconsin_International_Raceway,Rod Wheeler,https://www.thethirdturn.com/wiki/Rod_Wheeler,2006_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2006,4,2006-05-29,29 May 2006,4,https://www.thethirdturn.com/wiki/2006_Memorial_100,"Plover, WI",https://www.thethirdturn.com/wiki/Golden_Sands_Speedway,Kenny Richards,https://www.thethirdturn.com/wiki/Kenny_Richards,2006_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2006,5,2006-07-02,2 July 2006,5,https://www.thethirdturn.com/wiki/2006_North_American_Cup,"Wisconsin Dells, WI",https://www.thethirdturn.com/wiki/Dells_Raceway_Park,Frank Kreyer,https://www.thethirdturn.com/wiki/Frank_Kreyer,2006_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2006,6,2006-07-15,15 July 2006,6,https://www.thethirdturn.com/wiki/2006_Earth_Inc./V_%26_H_Heavy_Truck_Mansfield_80,"Marshfield, WI",https://www.thethirdturn.com/wiki/Marshfield_Motor_Speedway,Nathan Haseleu,https://www.thethirdturn.com/wiki/Nathan_Haseleu,2006_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2006,7,2006-07-29,29 July 2006,7,https://www.thethirdturn.com/wiki/2006_Power_Playground_100,"Plover, WI",https://www.thethirdturn.com/wiki/Golden_Sands_Speedway,Nathan Haseleu,https://www.thethirdturn.com/wiki/Nathan_Haseleu,2006_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2006,8,2006-08-19,19 August 2006,8,https://www.thethirdturn.com/wiki/2006_Blue_Race_(Overall),"Kaukauna, WI",https://www.thethirdturn.com/wiki/Wisconsin_International_Raceway,Nathan Haseleu,https://www.thethirdturn.com/wiki/Nathan_Haseleu,2006_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2006,9,2006-08-27,27 August 2006,9,https://www.thethirdturn.com/wiki/2006_Governor%27s_Cup_50,"West Allis, WI",https://www.thethirdturn.com/wiki/Milwaukee_Mile,Nathan Haseleu,https://www.thethirdturn.com/wiki/Nathan_Haseleu,2006_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2006,10,2006-09-08,8 September 2006,10,https://www.thethirdturn.com/wiki/2006_Bryden_Motors_100,"Oregon, WI",https://www.thethirdturn.com/wiki/Madison_International_Speedway,Steve Carlson,https://www.thethirdturn.com/wiki/Steve_Carlson,2006_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2006,11,2006-09-16,16 September 2006,11,https://www.thethirdturn.com/wiki/2006_WCS_Championship_80,"Marshfield, WI",https://www.thethirdturn.com/wiki/Marshfield_Motor_Speedway,Neil Knoblock,https://www.thethirdturn.com/wiki/Neil_Knoblock,2006_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2007,1,2007-04-15,15 April 2007,1,https://www.thethirdturn.com/wiki/2007_Spring_Classic,"Loves Park, IL",https://www.thethirdturn.com/wiki/Rockford_Speedway,Steve Rubeck,https://www.thethirdturn.com/wiki/Steve_Rubeck,2007_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2007,2,2007-05-06,6 May 2007,2,https://www.thethirdturn.com/wiki/2007_Pepsi_100,"Oregon, WI",https://www.thethirdturn.com/wiki/Madison_International_Speedway,Nathan Haseleu,https://www.thethirdturn.com/wiki/Nathan_Haseleu,2007_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2007,3,2007-05-12,12 May 2007,3,https://www.thethirdturn.com/wiki/WCS:2007-03,"Wisconsin Dells, WI",https://www.thethirdturn.com/wiki/Dells_Raceway_Park,Nathan Haseleu,https://www.thethirdturn.com/wiki/Nathan_Haseleu,2007_wisconsin_challenge_series.html
