series_id,season_year,season_id,race_number,source_race_name,series_event_id,race_date,track_name_source,track_name_museum,track_slug,winner_name_source,winner_name_museum,winner_driver_id,winner_driver_slug,source_url,notes
0,,,112,1977 Superamerica 150 Monza Classic Race No. 3,,2-Jul-77,Madison International Speedway,Madison International Speedway,madison-international-speedway,Dick Trickle,Dick Trickle,,dick-trickle,,
0,,,113,1988 ARTGO Holiday Twin 76s Race No. 1,,2-Jul-88,Dells Raceway Park,Dells Raceway Park,dells-raceway-park,Dick Trickle,Dick Trickle,,dick-trickle,,
0,,,114,1988 ARTGO Holiday Twin 76s Race No. 2,,2-Jul-88,Dells Raceway Park,Dells Raceway Park,dells-raceway-park,Steve Holzhausen,Steve Holzhausen,,steve-holzhausen,,
0,,,115,1994 ARTGO Summer Nationals,,2-Jul-94,Dells Raceway Park,Dells Raceway Park,dells-raceway-park,Joe Shear,Joe Shear,,joe-shear,,
0,,,116,1979 Lake Geneva 100,,2-Jun-79,Lake Geneva Raceway,Lake Geneva Raceway,lake-geneva-raceway,Mike Miller,Mike Miller,,mike-miller,,
0,,,117,1989 ARTGO Summer Nationals,,2-Sep-89,Dells Raceway Park,Dells Raceway Park,dells-raceway-park,Joe Shear,Joe Shear,,joe-shear,,
0,,,118,1995 ARTGO Western Swing Johnson Auto Center Summer Showdown,,2-Sep-95,Lebanon I-44 Speedway,Lebanon I-44 Speedway,lebanon-i-44-speedway,Joe Shear,Joe Shear,,joe-shear,,
0,,,119,1986 Opening Day 100,,20-Apr-86,Grundy County Speedway,Grundy County Speedway,grundy-county-speedway,Joe Shear,Joe Shear,,joe-shear,,
0,,,120,1980 NGK Spark Plug Summer Nationals Race No. 3,,20-Jul-80,LaCrosse Fairgrounds Speedway,LaCrosse Fairgrounds Speedway,lacrosse-fairgrounds-speedway,Darrell Waltrip,Darrell Waltrip,,darrell-waltrip,,
0,,,121,1996 Escape to Wisconsin 100,,20-Jul-96,Dells Raceway Park,Dells Raceway Park,dells-raceway-park,Jim Weber (MN),Jim Weber (MN),,jim-weber-mn,,
0,,,122,1985 Macomb Daily 100,,20-Jun-85,Mount Clemens Speedway,Mount Clemens Speedway,mount-clemens-speedway,Butch Miller,Butch Miller,,butch-miller,,
0,,,123,1989 Cabin Fever 100,,20-May-89,Dells Raceway Park,Dells Raceway Park,dells-raceway-park,Steve Carlson,Steve Carlson,,steve-carlson,,
0,,,124,1985 Opening Day 100,,21-Apr-85,Grundy County Speedway,Grundy County Speedway,grundy-county-speedway,"Al Schill, Sr.","Al Schill, Sr.",,al-schill-sr,,
0,,,125,1996 Cabin Fever 100,,21-Apr-96,Kalamazoo Speedway,Kalamazoo Speedway,kalamazoo-speedway,Bobby Blount,Bobby Blount,,bobby-blount,,
0,,,126,1984 Escape to Wisconsin 100,,21-Jul-84,Dells Raceway Park,Dells Raceway Park,dells-raceway-park,Steve Holzhausen,Steve Holzhausen,,steve-holzhausen,,
0,,,127,1994 Chicagoland Showdown,,21-Jul-94,Illiana Motor Speedway,Illiana Motor Speedway,illiana-motor-speedway,Steve Carlson,Steve Carlson,,steve-carlson,,
0,,,128,1980 Coca-Cola 100 Race No. 1,,21-Jun-80,Berlin Raceway,Berlin Raceway,berlin-raceway,Junior Hanley,Junior Hanley,,junior-hanley,,
0,,,129,1980 Coca-Cola 100 Race No. 2,,21-Jun-80,Berlin Raceway,Berlin Raceway,berlin-raceway,Bob Senneker,Bob Senneker,,bob-senneker,,
0,,,130,1983 Minnesota State Championships Race No. 1,,21-Jun-83,Raceway Park (MN),Raceway Park (MN),raceway-park-mn,"Mark Martin (Batesville, AR)","Mark Martin (Batesville, AR)",,mark-martin-batesville-ar,,
0,,,131,1983 Minnesota State Championships Race No. 2,,21-Jun-83,Raceway Park (MN),Raceway Park (MN),raceway-park-mn,Dick Trickle,Dick Trickle,,dick-trickle,,
0,,,132,1984 Macomb Daily 100,,21-Jun-84,Mount Clemens Speedway,Mount Clemens Speedway,mount-clemens-speedway,Dick Trickle,Dick Trickle,,dick-trickle,,
0,,,133,1995 Chicagoland Showdown,,21-May-95,Grundy County Speedway,Grundy County Speedway,grundy-county-speedway,Joe Shear,Joe Shear,,joe-shear,,
0,,,134,1994 Kalamazoo Challenge,,22-Jul-94,Berlin Raceway,Berlin Raceway,berlin-raceway,Butch Miller,Butch Miller,,butch-miller,,
0,,,135,1995 Cabin Fever 100,,22-Jul-95,Dells Raceway Park,Dells Raceway Park,dells-raceway-park,Tony Raines,Tony Raines,,tony-raines,,
0,,,136,1988 Special Export Light/WKBT-TV 8 100,,22-Jun-88,LaCrosse Fairgrounds Speedway,LaCrosse Fairgrounds Speedway,lacrosse-fairgrounds-speedway,Butch Miller,Butch Miller,,butch-miller,,
0,,,137,1988 Chicagoland Opening Day 100,,23-Apr-88,Grundy County Speedway,Grundy County Speedway,grundy-county-speedway,Butch Miller,Butch Miller,,butch-miller,,
0,,,138,1989 Chicagoland Opener,,23-Apr-89,Grundy County Speedway,Grundy County Speedway,grundy-county-speedway,Joe Shear,Joe Shear,,joe-shear,,
0,,,139,1983 ARTGO Indiana Challenge,,23-Aug-83,Baer Field Motorsports Park,Baer Field Motorsports Park,baer-field-motorsports-park,"Mark Martin (Batesville, AR)","Mark Martin (Batesville, AR)",,mark-martin-batesville-ar,,
0,,,140,1983 Upper Peninsula 100 Race No. 1,,23-Jul-83,Escanaba International Raceway,Escanaba International Raceway,escanaba-international-raceway,Steve Burgess,Steve Burgess,,steve-burgess,,
0,,,141,1983 Upper Peninsula 100 Race No. 2,,23-Jul-83,Escanaba International Raceway,Escanaba International Raceway,escanaba-international-raceway,Mel Walen,Mel Walen,,mel-walen,,
0,,,142,1985 ARTGO Summer Nationals Race No. 1,,23-Jul-85,Madison International Speedway,Madison International Speedway,madison-international-speedway,Butch Miller,Butch Miller,,butch-miller,,
0,,,143,1985 ARTGO Summer Nationals Race No. 2,,23-Jul-85,Madison International Speedway,Madison International Speedway,madison-international-speedway,Alan Kulwicki,Alan Kulwicki,,alan-kulwicki,,
0,,,144,1992 Pabst Light 100,,23-Jul-92,Hawkeye Downs Speedway,Hawkeye Downs Speedway,hawkeye-downs-speedway,Joe Shear,Joe Shear,,joe-shear,,
0,,,145,1993 Harding's Friendly Markets Say No To Drugs 100,,23-Jul-93,Kalamazoo Speedway,Kalamazoo Speedway,kalamazoo-speedway,Jim Weber (MN),Jim Weber (MN),,jim-weber-mn,,
0,,,146,1987 Minnesota 100,,23-Jun-87,Raceway Park (MN),Raceway Park (MN),raceway-park-mn,Butch Miller,Butch Miller,,butch-miller,,
0,,,147,1992 Lake Geneva Doubleheader,,23-Jun-92,Lake Geneva Raceway,Lake Geneva Raceway,lake-geneva-raceway,Rick Beebe,Rick Beebe,,rick-beebe,,
0,,,148,1996 ARTGO Summer Nationals,,23-Jun-96,Marshfield Motor Speedway,Marshfield Motor Speedway,marshfield-motor-speedway,Joe Shear,Joe Shear,,joe-shear,,
0,,,149,1981 Chicagoland Showdown Race No. 1,,23-May-81,Illiana Motor Speedway,Illiana Motor Speedway,illiana-motor-speedway,Larry Detjens,Larry Detjens,,larry-detjens,,
0,,,150,1981 Chicagoland Showdown Race No. 2,,23-May-81,Illiana Motor Speedway,Illiana Motor Speedway,illiana-motor-speedway,Dick Trickle,Dick Trickle,,dick-trickle,,
0,,,151,1982 Dr. Pepper 100 Race No. 1,,23-May-82,LaCrosse Fairgrounds Speedway,LaCrosse Fairgrounds Speedway,lacrosse-fairgrounds-speedway,Steve Burgess,Steve Burgess,,steve-burgess,,
0,,,152,1982 Dr. Pepper 100 Race No. 2,,23-May-82,LaCrosse Fairgrounds Speedway,LaCrosse Fairgrounds Speedway,lacrosse-fairgrounds-speedway,Tom Reffner,Tom Reffner,,tom-reffner,,
0,,,153,1987 Cancer Fund Benefit 100,,23-May-87,Berlin Raceway,Berlin Raceway,berlin-raceway,Bruce VanderLaan,Bruce VanderLaan,,bruce-vanderlaan,,
0,,,154,1983 Chicagoland Opening Day Race No. 1,,24-Apr-83,Grundy County Speedway,Grundy County Speedway,grundy-county-speedway,"Al Schill, Sr.","Al Schill, Sr.",,al-schill-sr,,
0,,,155,1983 Chicagoland Opening Day Race No. 2,,24-Apr-83,Grundy County Speedway,Grundy County Speedway,grundy-county-speedway,Dick Trickle,Dick Trickle,,dick-trickle,,
0,,,156,1980 NGK Spark Plug 150 Race No. 1,,24-Aug-80,Madison International Speedway,Madison International Speedway,madison-international-speedway,"Mark Martin (Batesville, AR)","Mark Martin (Batesville, AR)",,mark-martin-batesville-ar,,
0,,,157,1980 NGK Spark Plug 150 Race No. 2,,24-Aug-80,Madison International Speedway,Madison International Speedway,madison-international-speedway,"Mark Martin (Batesville, AR)","Mark Martin (Batesville, AR)",,mark-martin-batesville-ar,,
0,,,158,1982 ARTGO 100,,24-Jul-82,Escanaba International Raceway,Escanaba International Raceway,escanaba-international-raceway,Tom Reffner,Tom Reffner,,tom-reffner,,
0,,,159,1984 Molenaar Classic,,24-Jul-84,Illiana Motor Speedway,Illiana Motor Speedway,illiana-motor-speedway,Dick Trickle,Dick Trickle,,dick-trickle,,
0,,,160,1990 Parts Plus All-Star 100,,24-Jul-90,Rockford Speedway,Rockford Speedway,rockford-speedway,Larry Schuler,Larry Schuler,,larry-schuler,,
0,,,161,1991 All-Star 100,,24-Jul-91,Rockford Speedway,Rockford Speedway,rockford-speedway,Kevin Cywinski,Kevin Cywinski,,kevin-cywinski,,
0,,,162,1992 Kansas City 100,,24-Jul-92,Lakeside Speedway,Lakeside Speedway,lakeside-speedway,Steve Carlson,Steve Carlson,,steve-carlson,,
0,,,163,1993 ARTGO Summer Nationals,,24-Jul-93,Illiana Motor Speedway,Illiana Motor Speedway,illiana-motor-speedway,Larry Schuler,Larry Schuler,,larry-schuler,,
0,,,164,1979 Hi/Rev 100,,24-Jun-79,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway,Dick Trickle,Dick Trickle,,dick-trickle,,
0,,,165,1987 Export Light 100,,24-Jun-87,LaCrosse Fairgrounds Speedway,LaCrosse Fairgrounds Speedway,lacrosse-fairgrounds-speedway,Butch Miller,Butch Miller,,butch-miller,,
0,,,166,1995 ARTGO Michigan Challenge,,24-Jun-95,Berlin Raceway,Berlin Raceway,berlin-raceway,Dick Harrington,Dick Harrington,,dick-harrington,,
0,,,167,1980 Chicagoland Showdown Race No. 1,,24-May-80,Illiana Motor Speedway,Illiana Motor Speedway,illiana-motor-speedway,Ed Hoffman,Ed Hoffman,,ed-hoffman,,
0,,,168,1980 Chicagoland Showdown Race No. 2,,24-May-80,Illiana Motor Speedway,Illiana Motor Speedway,illiana-motor-speedway,Dick Trickle,Dick Trickle,,dick-trickle,,
