source_driver_name,alias_driver_name,museum_driver_name,driver_id,driver_slug,match_status,review_action,notes
"Frank Giuffre, Jr.",,"Frank Giuffre, Jr.",,frank-giuffre-jr,,,
Fred Barker,,Fred Barker,,fred-barker,,,
Fred Becker,,Fred Becker,,fred-becker,,,
Fred Beckler,,Fred Beckler,,fred-beckler,,,
Fred Bender,,Fred Bender,,fred-bender,,,
Fred Campbell,,Fred Campbell,,fred-campbell,,,
Fred Gignac,,Fred Gignac,,fred-gignac,,,
Fred Gingac,,Fred Gingac,,fred-gingac,,,
Fred Malecki,,Fred Malecki,,fred-malecki,,,
Fred Mott,,Fred Mott,,fred-mott,,,
Fred Winn,,Fred Winn,,fred-winn,,,
Fred Zack,,Fred Zack,,fred-zack,,,
G.I. Tarbuck,,G.I. Tarbuck,,gi-tarbuck,,,
Gary Back,,Gary Back,,gary-back,,,
Gary Hemmerling,,Gary Hemmerling,,gary-hemmerling,,,
Gary Krueger,,Gary Krueger,,gary-krueger,,,
Gary Porter,,Gary Porter,,gary-porter,,,
Gary Roehrborn,,Gary Roehrborn,,gary-roehrborn,,,
Gary Ward,,Gary Ward,,gary-ward,,,
Gayle Cobb,,Gayle Cobb,,gayle-cobb,,,
Gene Claxton,,Gene Claxton,,gene-claxton,,,
Gene Coleman,,Gene Coleman,,gene-coleman,,,
Gene Eding,,Gene Eding,,gene-eding,,,
Gene Lee Gibson,,Gene Lee Gibson,,gene-lee-gibson,,,
Gene Mathu,,Gene Mathu,,gene-mathu,,,
George Dukas,,George Dukas,,george-dukas,,,
George Hill (IL),,George Hill (IL),,george-hill-il,,,
George Jewell,,George Jewell,,george-jewell,,,
George Perkins,,George Perkins,,george-perkins,,,
"George Prentice, Jr.",,"George Prentice, Jr.",,george-prentice-jr,,,
George Prziborowski,,George Prziborowski,,george-prziborowski,,,
Gerry Woods,,Gerry Woods,,gerry-woods,,,
Gil Shilts,,Gil Shilts,,gil-shilts,,,
Gil Tarbath,,Gil Tarbath,,gil-tarbath,,,
Gil Tarbutton,,Gil Tarbutton,,gil-tarbutton,,,
Gledius Frye,,Gledius Frye,,gledius-frye,,,
"Glenn Allen, Jr.",,"Glenn Allen, Jr.",,glenn-allen-jr,,,
"Gordie Sannes, Jr.",,"Gordie Sannes, Jr.",,gordie-sannes-jr,,,
Gordy Brunette,,Gordy Brunette,,gordy-brunette,,,
Gordy Sannes,,Gordy Sannes,,gordy-sannes,,,
Grant Wilson,,Grant Wilson,,grant-wilson,,,
Greg Arenson,,Greg Arenson,,greg-arenson,,,
