Race,Track,track,slug,track_id,Date,DriverName,,slug,driver_id,DriverStart,DriverFinish,DriverNum,DriverSponsor,DriverMake,DriverLaps,DriverLed,DriverStatus,DriverPts,,
1982 ARTGO Dixieland Challenge,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,31-Aug-82,Bobby Iverson,Bob Iverson,bob-iverson,1929,,15,,,Firebird,,,,,,David Anspaugh
1983 Chicagoland Opening Day Race No. 1,Grundy County Speedway,Grundy County Speedway,grundy-county-speedway-il,77,24-Apr-83,Bobby Iverson,Bob Iverson,bob-iverson,1929,,18,,,Firebird,37,,,,,David Bates
1983 Chicagoland Opening Day Race No. 2,Grundy County Speedway,Grundy County Speedway,grundy-county-speedway-il,77,24-Apr-83,Bobby Iverson,Bob Iverson,bob-iverson,1929,,13,,,Firebird,49,,,,,David Duckworth
1983 ARTGO Summer Nationals,Madison International Speedway,Capital Super Speedway,capital-super-speedway-wi,31,3-Jul-83,Bobby Iverson,Bob Iverson,bob-iverson,1929,,15,,,Firebird,62,,,,,David Nauman
1983 Upper Peninsula 100 Race No. 1,Escanaba International Raceway,Escanaba Speedway,escanaba-speedway-mi,61,23-Jul-83,Bobby Iverson,Bob Iverson,bob-iverson,1929,,11,,,,,,,,,David Nelson
1983 Midwest Championships Race No. 2,Dells Raceway Park,Dells Motor Speedway,dells-motor-speedway-wi,49,18-Sep-83,Bobby Iverson,Bob Iverson,bob-iverson,1929,,4,,,,,,,,,David Simko
1984 Miller High Life Spring Nationals Race No. 1,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,28-May-84,Bobby Iverson,Bob Iverson,bob-iverson,1929,,16,,,Pontiac,49,,,,,David Tomczak
1984 Miller High Life Spring Nationals Race No. 2,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,28-May-84,Bobby Iverson,Bob Iverson,bob-iverson,1929,,17,,,Pontiac,40,,,,,Debbie Nash
1984 ARTGO Dixieland Challenge,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,7-Aug-84,Bobby Iverson,Bob Iverson,bob-iverson,1929,,17,,,,94,,,,,Dennis Aho
1985 ARTGO Spring Nationals Race No. 1,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,27-May-85,Bobby Iverson,Bob Iverson,bob-iverson,1929,,12,,,,,,,,,Dennis Berry
1985 ARTGO Spring Nationals Race No. 2,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,27-May-85,Bobby Iverson,Bob Iverson,bob-iverson,1929,,9,,,,,,,,,Dennis Martin (FL)
1986 Newscenter 11 Miller Spring Nationals Race No. 1,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,25-May-86,Bobby Iverson,Bob Iverson,bob-iverson,1929,,7,,,,,,,,,Dennis Nyari
1986 Newscenter 11 Miller Spring Nationals Race No. 2,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,25-May-86,Bobby Iverson,Bob Iverson,bob-iverson,1929,,20,,,,,,,,,Denny James
