event_slug,series_event_id,season_id,race_number,track_id,finishing_position,starting_position,car_number,driver_id,driver_name,driver_slug,sponsor,make,laps,led,status,points,result_section,source_url
2003-charter-communications-100,,43,1,49,22,,,10910,Jeff Kendall,jeff-kendall,,,,,,,feature,
2003-spring-fling-100,,43,2,41,1,,,8314,Erik Darnell,erik-darnell,,,,,,,feature,
2003-spring-fling-100,,43,2,41,2,,,10910,Jeff Kendall,jeff-kendall,,,,,,,feature,
2003-spring-fling-100,,43,2,41,3,,,13291,John Zimmerman,john-zimmerman,,,,,,,feature,
2003-spring-fling-100,,43,2,41,4,,,14762,Kyle Kinder,kyle-kinder,,,,,,,feature,
2003-spring-fling-100,,43,2,41,5,,,16985,Mike Langsdorf,mike-langsdorf,,,,,,,feature,
2003-spring-fling-100,,43,2,41,6,,,11210,Jeremy Lepak,jeremy-lepak,,,,,,,feature,
2003-spring-fling-100,,43,2,41,7,,,20643,Scott Broughton,scott-broughton,,,,,,,feature,
2003-spring-fling-100,,43,2,41,8,,,11091,Jeff Watters,jeff-watters,,,,,,,feature,
2003-spring-fling-100,,43,2,41,9,,,15732,M.G. Gajewski,m-g-gajewski,,,,,,,feature,
2003-spring-fling-100,,43,2,41,10,,,181,Adam Royle,adam-royle,,,,,,,feature,
2003-spring-fling-100,,43,2,41,11,,,4194,Chris Weinkauf,chris-weinkauf,,,,,,,feature,
2003-spring-fling-100,,43,2,41,12,,,20819,Scott Patrick,scott-patrick,,,,,,,feature,
2003-spring-fling-100,,43,2,41,13,,,8809,Gary Junget,gerry-junget,,,,,,,feature,
2003-spring-fling-100,,43,2,41,14,,,8526,Frank Kreyer,frank-kreyer,,,,,,,feature,
2003-spring-fling-100,,43,2,41,15,,,3355,Burton Brown,burton-brown,,,,,,,feature,
2003-spring-fling-100,,43,2,41,16,,,6406,Dean Schultz,dean-schultz,,,,,,,feature,
2003-spring-fling-100,,43,2,41,17,,,22032,Terry Van Roy,terry-van-roy,,,,,,,feature,
2003-spring-fling-100,,43,2,41,18,,,17512,Nathan Haseleu,nathan-haseleu,,,,,,,feature,
2003-spring-fling-100,,43,2,41,19,,,14187,Ken Reiser,kenny-reiser,,,,,,,feature,
2003-spring-fling-100,,43,2,41,20,,,20139,Rory Melbinger,rory-melbinger,,,,,,,feature,
2003-spring-fling-100,,43,2,41,21,,,null,Jon Hornby,jon-hornby,,,,,,,feature,
2003-spring-fling-100,,43,2,41,22,,,10667,Jason Weinkauf,jason-weinkauf,,,,,,,feature,
