series_slug,series_name,season_year,race_number,race_date,race_date_raw,race_title,race_slug_guess,museum_event_slug_guess,race_url,track_display,track_name_from_url,track_slug_guess,museum_track_slug,track_slug_match_status,track_url,winner_name,winner_slug_guess,museum_winner_driver_slug,driver_slug_match_status,winner_url,source_name,source_url,source_file,import_status,review_notes
wisconsin-challenge-series,Wisconsin Challenge Series,2005,3,2005-05-21,21 May 2005,Star Packaging 100,2005-star-packaging-100,wisconsin-challenge-series-2005-03-star-packaging-100,https://www.thethirdturn.com/wiki/2005_Star_Packaging_100,"Cambridge, WI",Jefferson Speedway,jefferson-speedway,jefferson-speedway-wi,mapped,https://www.thethirdturn.com/wiki/Jefferson_Speedway,Erik Darnell,erik-darnell,erik-darnell,mapped,https://www.thethirdturn.com/wiki/Erik_Darnell,The Third Turn,https://www.thethirdturn.com/wiki/2005_Star_Packaging_100,2005_wisconsin_challenge_series.html,review,
wisconsin-challenge-series,Wisconsin Challenge Series,2005,4,2005-05-29,29 May 2005,Memorial 100,2005-memorial-100,wisconsin-challenge-series-2005-04-memorial-100,https://www.thethirdturn.com/wiki/2005_Memorial_100,"Plover, WI",Golden Sands Speedway,golden-sands-speedway,golden-sands-speedway-wi,mapped,https://www.thethirdturn.com/wiki/Golden_Sands_Speedway,Jeff Kendall,jeff-kendall,jeff-kendall,mapped,https://www.thethirdturn.com/wiki/Jeff_Kendall,The Third Turn,https://www.thethirdturn.com/wiki/2005_Memorial_100,2005_wisconsin_challenge_series.html,review,
wisconsin-challenge-series,Wisconsin Challenge Series,2005,5,2005-06-21,21 June 2005,FMP All-Star Challenge,2005-fmp-all-star-challenge,wisconsin-challenge-series-2005-05-fmp-all-star-challenge,https://www.thethirdturn.com/wiki/2005_FMP_All-Star_Challenge,"Kaukauna, WI",Wisconsin International Raceway,wisconsin-international-raceway,wisconsin-international-raceway-wi,mapped,https://www.thethirdturn.com/wiki/Wisconsin_International_Raceway,Jeff Van Oudenhoven,jeff-van-oudenhoven,jeff-van-oudenhoven,mapped,https://www.thethirdturn.com/wiki/Jeff_Van_Oudenhoven,The Third Turn,https://www.thethirdturn.com/wiki/2005_FMP_All-Star_Challenge,2005_wisconsin_challenge_series.html,review,
wisconsin-challenge-series,Wisconsin Challenge Series,2005,6,2005-07-02,2 July 2005,North American Cup,2005-north-american-cup,wisconsin-challenge-series-2005-06-north-american-cup,https://www.thethirdturn.com/wiki/2005_North_American_Cup,"Wisconsin Dells, WI",Dells Raceway Park,dells-raceway-park,dells-raceway-park-wi,mapped,https://www.thethirdturn.com/wiki/Dells_Raceway_Park,Dexter Bean,dexter-bean,dexter-bean,mapped,https://www.thethirdturn.com/wiki/Dexter_Bean,The Third Turn,https://www.thethirdturn.com/wiki/2005_North_American_Cup,2005_wisconsin_challenge_series.html,review,
wisconsin-challenge-series,Wisconsin Challenge Series,2005,7,2005-07-16,16 July 2005,Thomas Electric 80,2005-thomas-electric-80,wisconsin-challenge-series-2005-07-thomas-electric-80,https://www.thethirdturn.com/wiki/2005_Thomas_Electric_80,"Marshfield, WI",Marshfield Motor Speedway,marshfield-motor-speedway,marshfield-motor-speedway-wi,mapped,https://www.thethirdturn.com/wiki/Marshfield_Motor_Speedway,Nathan Haseleu,nathan-haseleu,nathan-haseleu,mapped,https://www.thethirdturn.com/wiki/Nathan_Haseleu,The Third Turn,https://www.thethirdturn.com/wiki/2005_Thomas_Electric_80,2005_wisconsin_challenge_series.html,review,
wisconsin-challenge-series,Wisconsin Challenge Series,2005,8,2005-07-29,29 July 2005,Power Playground 100,2005-power-playground-100,wisconsin-challenge-series-2005-08-power-playground-100,https://www.thethirdturn.com/wiki/2005_Power_Playground_100,"Plover, WI",Golden Sands Speedway,golden-sands-speedway,golden-sands-speedway-wi,mapped,https://www.thethirdturn.com/wiki/Golden_Sands_Speedway,Nathan Haseleu,nathan-haseleu,nathan-haseleu,mapped,https://www.thethirdturn.com/wiki/Nathan_Haseleu,The Third Turn,https://www.thethirdturn.com/wiki/2005_Power_Playground_100,2005_wisconsin_challenge_series.html,review,
wisconsin-challenge-series,Wisconsin Challenge Series,2005,9,2005-09-10,10 September 2005,Championship 80,2005-championship-80,wisconsin-challenge-series-2005-09-championship-80,https://www.thethirdturn.com/wiki/2005_Championship_80,"Marshfield, WI",Marshfield Motor Speedway,marshfield-motor-speedway,marshfield-motor-speedway-wi,mapped,https://www.thethirdturn.com/wiki/Marshfield_Motor_Speedway,"Eugene Gregorich, Jr.",eugene-gregorich-jr,eugene-gregorich-jr,mapped,"https://www.thethirdturn.com/wiki/Eugene_Gregorich,_Jr.",The Third Turn,https://www.thethirdturn.com/wiki/2005_Championship_80,2005_wisconsin_challenge_series.html,review,
wisconsin-challenge-series,Wisconsin Challenge Series,2006,1,2006-04-02,2 April 2006,Spring Classic presented by International Truck and Yellow Book,2006-spring-classic-presented-by-international-truck-and-yellow-book,wisconsin-challenge-series-2006-01-spring-classic-presented-by-international-truck-and-yellow-book,https://www.thethirdturn.com/wiki/2006_Spring_Classic_presented_by_International_Truck_and_Yellow_Book,"Loves Park, IL",Rockford Speedway,rockford-speedway,rockford-speedway-il,mapped,https://www.thethirdturn.com/wiki/Rockford_Speedway,Steve Rubeck,steve-rubeck,steve-rubeck,mapped,https://www.thethirdturn.com/wiki/Steve_Rubeck,The Third Turn,https://www.thethirdturn.com/wiki/2006_Spring_Classic_presented_by_International_Truck_and_Yellow_Book,2006_wisconsin_challenge_series.html,review,
wisconsin-challenge-series,Wisconsin Challenge Series,2006,2,2006-05-07,7 May 2006,Miller Classic 100,2006-miller-classic-100,wisconsin-challenge-series-2006-02-miller-classic-100,https://www.thethirdturn.com/wiki/2006_Miller_Classic_100,"Oregon, WI",Madison International Speedway,madison-international-speedway,madison-international-speedway-wi,mapped,https://www.thethirdturn.com/wiki/Madison_International_Speedway,Dave Feiler,dave-feiler,dave-feiler,mapped,https://www.thethirdturn.com/wiki/Dave_Feiler,The Third Turn,https://www.thethirdturn.com/wiki/2006_Miller_Classic_100,2006_wisconsin_challenge_series.html,review,
wisconsin-challenge-series,Wisconsin Challenge Series,2006,3,2006-05-21,21 May 2006,Budweiser/WAPL Spring Classic,2006-budweiser-wapl-spring-classic,wisconsin-challenge-series-2006-03-budweiser-wapl-spring-classic,https://www.thethirdturn.com/wiki/2006_Budweiser/WAPL_Spring_Classic,"Kaukauna, WI",Wisconsin International Raceway,wisconsin-international-raceway,wisconsin-international-raceway-wi,mapped,https://www.thethirdturn.com/wiki/Wisconsin_International_Raceway,Rod Wheeler,rod-wheeler,rod-wheeler,mapped,https://www.thethirdturn.com/wiki/Rod_Wheeler,The Third Turn,https://www.thethirdturn.com/wiki/2006_Budweiser/WAPL_Spring_Classic,2006_wisconsin_challenge_series.html,review,
